安卓,京东,淘宝,国美
飞天,https://item.m.jd.com/product/100012043978.html,https://m.tb.cn/h.fDLotTn?tk=i2XF2L6EVck,https://hd.m.gome.com.cn/maotai_appointment.html?urlType=other&cmpid=s_app01_wx&uid=85287806436
虎年,https://item.m.jd.com/product/100039547570.html,https://m.tb.cn/h.fDLpeYj?tk=SFmz2L6DdQt,https://hd.m.gome.com.cn/maotai_appointment.html?urlType=other&cmpid=s_app01_wx&uid=85287806436
